27,63,0
26,65,0
25,62,1
34,60,1
30,71,0
33,73,0
27,78,0
32,72,0
27,79,0
25,72,1
34,79,0
29,66,0
34,70,0
28,75,0
30,60,1
34,67,0
34,65,0
32,68,0
34,72,0
29,69,0
27,64,0
33,66,0
28,67,0
30,66,0
27,69,0
25,62,1
27,70,0
27,79,0
29,79,0
32,69,0
33,69,0
34,63,0
32,67,0
33,74,0
29,60,1
34,70,0
34,73,0
28,66,0
29,67,0
29,65,0
29,69,0
32,70,0
31,78,0
30,61,0
33,71,0
31,73,0
27,62,0
25,63,1
29,69,0
31,63,0
28,76,0
33,62,0
32,65,0
30,68,0
29,65,0
29,67,0
32,62,0
31,61,0
30,71,0
25,68,1
34,68,0
25,68,1
28,70,0
25,60,1
28,73,0
29,76,0
31,79,0
33,69,0
27,78,0
32,60,1
33,78,0
33,61,0
33,60,1
34,64,0
31,78,0
27,76,0
27,65,0
31,70,0
33,66,0
31,60,1
31,79,0
28,66,0
28,72,0
26,69,0
26,75,0
31,64,0
25,67,1
33,62,0
29,70,0
31,74,0
29,67,0
27,69,0
33,66,0
31,69,0
33,74,0
28,75,0
27,79,0
31,77,0
33,67,0
25,76,1
30,65,0
25,67,1
26,69,0
33,66,0
27,79,0
31,64,0
26,74,0
25,75,1
27,66,0
26,61,0
32,76,0
29,79,0
33,71,0
25,67,1
33,63,0
32,63,0
32,69,0
26,66,0
25,77,1
34,64,0
29,77,0
27,67,0
26,74,0
34,65,0
27,71,0
32,65,0
33,64,0
30,75,0
31,61,0
34,78,0
27,69,0
27,78,0
27,65,0
26,62,0
25,76,1
25,66,1
32,64,0
25,76,1
25,79,1
27,67,0
26,77,0
29,63,0
30,62,0
27,70,0
32,64,0
33,77,0
34,74,0
30,64,0
30,64,0
33,79,0
33,70,0
28,64,0
27,60,1
33,70,0
27,69,0
33,76,0
29,62,0
33,60,1
31,69,0
30,64,0
34,79,0
32,63,0
33,65,0
28,60,1
25,64,1
26,79,0
32,60,1
32,67,0
30,64,0
28,67,0
26,70,0
30,70,0
26,78,0
30,72,0
30,77,0
25,68,1
28,70,0
32,67,0
27,66,0
30,66,0
27,67,0
34,72,0
26,60,1
30,64,0
30,66,0
25,66,1
28,78,0
30,66,0
27,65,0
32,70,0
32,78,0
29,77,0
29,76,0
31,65,0
26,70,0
29,71,0
26,73,0
29,62,0
27,69,0
33,74,0
27,72,0
30,64,0
31,77,0
26,69,0
33,74,0
28,61,0
30,73,0
30,70,0
25,79,1
29,64,0
30,64,0
31,77,0
26,64,0
34,69,0
25,69,1
25,62,1
25,75,1
31,62,0
28,66,0
29,75,0
30,72,0
25,70,1
30,79,0
26,76,0
27,63,0
26,71,0
25,68,1
28,71,0
28,67,0
27,60,1
32,60,1
27,64,0
26,69,0
28,67,0
34,70,0
27,77,0
34,76,0
29,67,0
29,63,0
31,63,0
31,66,0
27,68,0
25,75,1
27,62,0
30,79,0
30,67,0
30,70,0
32,63,0
26,65,0
30,65,0
34,68,0
33,72,0
26,72,0
29,79,0
29,72,0
30,73,0
29,67,0
32,71,0
34,65,0
26,69,0
31,74,0
25,62,1
31,64,0
30,69,0
31,67,0
30,67,0
32,64,0
